,Red Policy,Purple Policy,Red Reward,Purple Reward,Total Reward,Red Helping Actions Before,Purple Helping Actions Before,Red Helping Actions After,Purple Helping Actions After
809,collaborative,collaborative,188,192,380,2,1,0,1
810,collaborative,collaborative,64,236,300,3,3,0,0
811,collaborative,collaborative,228,256,484,2,2,0,0
812,collaborative,collaborative,92,204,296,1,1,1,0
813,collaborative,collaborative,220,196,416,3,3,0,0
814,collaborative,collaborative,276,280,556,0,0,0,0
815,collaborative,collaborative,188,208,396,2,1,0,1
816,collaborative,collaborative,148,196,344,2,2,0,0
817,collaborative,collaborative,204,248,452,2,2,0,0
818,collaborative,collaborative,216,56,272,0,1,1,0
819,collaborative,collaborative,236,248,484,3,3,0,0
820,collaborative,collaborative,228,264,492,1,1,0,0
821,collaborative,collaborative,228,228,456,2,2,0,0
822,collaborative,collaborative,228,168,396,2,2,0,0
823,collaborative,collaborative,252,192,444,1,1,0,0
824,collaborative,collaborative,236,256,492,2,2,0,0
825,collaborative,collaborative,160,204,364,3,3,0,0
826,collaborative,collaborative,228,200,428,2,2,0,0
827,collaborative,collaborative,212,208,420,1,1,0,0
828,collaborative,collaborative,184,256,440,0,0,1,0
829,collaborative,collaborative,144,88,232,2,3,0,0
830,collaborative,collaborative,220,228,448,2,3,1,0
831,collaborative,collaborative,220,216,436,1,1,0,0
832,collaborative,collaborative,244,208,452,2,2,0,0
833,collaborative,collaborative,236,256,492,1,1,0,0
834,collaborative,collaborative,204,264,468,1,0,0,1
835,collaborative,collaborative,188,196,384,1,2,1,0
836,collaborative,collaborative,236,240,476,3,3,0,0
837,collaborative,collaborative,148,128,276,1,1,0,0
838,collaborative,collaborative,196,192,388,3,3,0,0
839,collaborative,collaborative,228,248,476,3,3,0,0
840,collaborative,collaborative,148,96,244,1,1,0,0
841,collaborative,collaborative,196,256,452,1,0,0,1
842,collaborative,collaborative,188,236,424,1,1,0,0
843,collaborative,collaborative,228,248,476,3,3,0,0
844,collaborative,collaborative,196,256,452,2,2,0,0
845,collaborative,collaborative,188,208,396,2,2,0,0
846,collaborative,collaborative,228,248,476,3,3,0,0
847,collaborative,collaborative,196,208,404,1,1,0,0
848,collaborative,collaborative,196,176,372,2,1,0,1
849,collaborative,collaborative,188,240,428,3,3,0,0
850,collaborative,collaborative,92,244,336,1,2,1,0
851,collaborative,collaborative,236,240,476,0,1,1,0
852,collaborative,collaborative,196,140,336,2,2,0,0
853,collaborative,collaborative,268,260,528,0,0,0,0
854,collaborative,collaborative,144,236,380,2,2,0,0
855,collaborative,collaborative,204,208,412,1,1,0,0
856,collaborative,collaborative,136,168,304,2,2,0,0
857,collaborative,collaborative,196,240,436,2,2,0,0
858,collaborative,collaborative,136,228,364,2,2,0,0
859,collaborative,collaborative,276,296,572,0,0,0,0
860,collaborative,collaborative,80,184,264,2,1,0,0
861,collaborative,collaborative,120,148,268,2,2,0,0
862,collaborative,collaborative,132,148,280,2,2,0,0
863,collaborative,collaborative,184,256,440,0,0,1,0
864,collaborative,collaborative,128,204,332,2,2,0,0
865,collaborative,collaborative,148,148,296,2,2,0,0
866,collaborative,collaborative,236,152,388,2,2,0,0
867,collaborative,collaborative,188,164,352,2,2,0,0
868,collaborative,collaborative,168,236,404,1,0,0,1
869,collaborative,collaborative,228,244,472,2,1,0,1
870,collaborative,collaborative,196,248,444,2,1,0,1
871,collaborative,collaborative,228,192,420,1,2,1,0
872,collaborative,collaborative,220,216,436,2,2,0,0
873,collaborative,collaborative,236,200,436,0,1,1,0
874,collaborative,collaborative,188,248,436,3,3,0,0
875,collaborative,collaborative,236,120,356,1,1,0,0
876,collaborative,collaborative,80,192,272,3,3,0,0
877,collaborative,collaborative,168,204,372,1,1,0,0
878,collaborative,collaborative,136,132,268,2,2,0,0
879,collaborative,collaborative,188,256,444,1,0,0,1
880,collaborative,collaborative,204,248,452,3,3,0,0
881,collaborative,collaborative,152,196,348,1,1,0,0
882,collaborative,collaborative,128,164,292,2,2,0,0
883,collaborative,collaborative,228,204,432,2,1,0,1
884,collaborative,collaborative,188,208,396,1,1,0,0
885,collaborative,collaborative,204,156,360,2,2,0,0
886,collaborative,collaborative,188,240,428,1,1,0,0
887,collaborative,collaborative,208,160,368,3,3,0,0
888,collaborative,collaborative,220,188,408,2,1,0,1
889,collaborative,collaborative,212,244,456,3,3,0,0
890,collaborative,collaborative,132,244,376,1,2,1,0
891,collaborative,collaborative,188,204,392,2,2,0,0
892,collaborative,collaborative,236,216,452,2,2,0,0
893,collaborative,collaborative,228,192,420,3,3,0,0
894,collaborative,collaborative,236,248,484,2,2,0,0
895,collaborative,collaborative,88,224,312,1,2,2,0
896,collaborative,collaborative,212,160,372,2,2,0,0
897,collaborative,collaborative,220,188,408,3,3,0,0
898,collaborative,collaborative,196,208,404,1,1,0,0
899,collaborative,collaborative,244,248,492,1,1,0,0
