session,costCond,visibilityCond,resourceCond,counterbalance,purpleBackpackSize,redBackpackSize,purplePoints,redPoints,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps
gsABAaOP8uOiCM,high,full,even,7.0,4,4,1051,420,1091.5,166.0,2013.0,332.0,44,1050,193,True,True,True,21,23,97,96
gveKFkS64H1yip,high,full,uneven,15.0,3,5,1200,1196,913.0,174.0,1801.0,348.0,38,884,174,True,True,True,13,25,57,117
h2rgccCXDFdHoM,high,full,uneven,4.0,5,3,1284,1243,900.5,192.0,1751.0,384.0,46,908,199,True,True,True,28,18,114,85
hYVGa4iFoyeVVy,high,self,even,12.0,4,4,786,804,1010.5,0.0,1966.0,0.0,0,985,0,False,False,False,0,0,0,0
hifL60ShHbrzTZ,high,full,uneven,2.0,5,3,1223,412,997.5,0.0,1975.0,0.0,0,1093,0,False,False,False,0,0,0,0
houjqcWO2aD5Ov,high,self,uneven,6.0,5,3,1188,372,1011.0,0.0,1992.0,0.0,0,1111,0,False,False,False,0,0,0,0
hqdXjJ50oSQrNk,low,full,uneven,9.0,3,5,2287,3234,1168.0,0.0,1168.0,0.0,0,1073,0,False,False,False,0,0,0,0
hxh8tvpdPjCFh9,high,self,even,13.0,4,4,773,999,992.0,47.0,1939.0,94.0,5,1005,47,True,True,True,4,1,34,13
iGDgW3dgzRD0xE,low,full,uneven,11.0,3,5,2390,3080,1156.0,150.0,1156.0,150.0,35,1023,148,True,True,True,17,18,77,71
iadzI1R6uWA2BG,low,full,even,12.0,4,4,2881,3051,1095.0,4.0,1095.0,4.0,4,979,4,True,True,True,2,2,2,2
ir4TKUaQiNclJp,high,full,even,3.0,4,4,1050,1198,923.0,127.0,1836.0,254.0,21,979,127,True,True,True,11,10,80,47
irVcuGFfTVDLh7,high,full,even,8.0,4,4,951,1088,968.0,289.5,1906.0,579.0,50,963,302,True,True,True,24,26,150,152
iyujA2z8Zfkxws,low,full,even,12.0,4,4,2966,3167,1077.0,10.0,1077.0,10.0,1,978,10,True,True,False,1,0,10,0
j1CE0wpe15K6oh,high,self,even,15.0,4,4,759,982,1042.0,52.0,1974.0,104.0,10,1066,64,True,True,True,6,4,40,24
j81Gvcn1qWMp6p,low,self,even,11.0,4,4,3350,3464,946.0,216.0,946.0,216.0,48,880,216,True,True,True,24,24,106,110
jbpUv1U7IFVn3V,high,self,even,2.0,4,4,1128,1264,919.5,93.0,1809.0,186.0,22,974,114,True,True,True,12,10,63,51
joVZzg508p20O8,low,self,even,5.0,4,4,2879,3059,1127.0,274.0,1127.0,274.0,47,1027,274,True,True,True,24,23,134,140
jw2MrzzGFGh3Ss,high,full,even,6.0,4,4,1083,689,996.5,25.0,1938.0,50.0,5,951,25,True,False,True,0,5,0,25
kGhzawBAgmzC6Y,low,full,uneven,14.0,3,5,2817,3163,1094.0,112.0,1094.0,112.0,21,979,112,True,True,True,6,15,37,75
kVw1kRt8nsMuqG,high,self,uneven,7.0,5,3,1220,672,965.5,125.0,1918.0,250.0,32,1004,144,True,True,True,19,13,66,78
kiV9j24JQApvRH,low,full,even,5.0,4,4,3074,3152,1074.0,0.0,1074.0,0.0,0,958,0,False,False,False,0,0,0,0
kvjqlEEjeSSjTG,low,self,even,9.0,4,4,3418,3321,963.0,105.0,963.0,105.0,21,893,105,True,True,True,10,11,43,62
kyAtOR47CAXO01,low,self,uneven,1.0,5,3,3173,2870,1086.0,132.0,1086.0,132.0,24,952,132,True,True,True,14,10,80,52
l2MvczWOp8FY1x,low,self,uneven,0.0,5,3,2743,2892,1124.0,104.0,1124.0,104.0,20,1053,104,True,True,True,14,6,70,34
l8bDK3aO8wGxbQ,high,full,uneven,11.0,5,3,1151,605,1040.5,116.0,1986.0,232.0,28,1043,129,True,True,True,14,14,51,78
lJrsxwVCf7yUiN,low,self,uneven,3.0,5,3,3010,2112,1244.0,1.0,1244.0,1.0,1,1120,1,True,False,True,0,1,0,1
lOwFrEEMnA7n99,low,self,uneven,13.0,3,5,2554,3357,1084.0,94.0,1084.0,94.0,21,1010,94,True,True,True,8,13,40,54
lV8Ka6sfBZ2PQr,low,self,uneven,14.0,3,5,2647,3173,1136.0,126.0,1136.0,126.0,26,1049,126,True,True,True,11,15,53,73
lYmChdJMknpHlw,high,full,even,13.0,4,4,869,688,1040.0,6.0,1995.0,12.0,1,1018,6,True,False,True,0,1,0,6
lkNrIbKXLPIT0i,high,self,uneven,0.0,5,3,1239,330,1011.5,9.0,1993.0,18.0,1,1035,9,True,True,False,1,0,9,0
lsFCn1XMbjkQlM,high,self,uneven,3.0,3,5,454,1170,1020.0,47.0,1990.0,94.0,9,1059,47,True,True,True,4,5,23,24
m3SlY7K65mcVAI,high,full,even,11.0,4,4,759,783,1015.5,12.0,1980.0,24.0,1,1026,12,True,True,False,1,0,12,0
mB2Zp8vYtp5D8Q,low,full,uneven,5.0,5,3,2698,2454,1254.0,14.0,1254.0,14.0,2,1110,14,True,True,True,1,1,7,7
mJ9fjlcP23idAZ,high,full,even,10.0,4,4,827,831,1011.0,0.0,1950.0,0.0,0,1028,0,False,False,False,0,0,0,0
mM1rQ6aOZHXZPY,low,full,even,2.0,4,4,2906,3038,1112.0,0.0,1112.0,0.0,0,994,0,False,False,False,0,0,0,0
mY2ThHGLZfMrwC,high,full,even,12.0,4,4,962,694,1067.0,31.0,2004.0,62.0,7,1011,41,True,True,True,1,6,6,35
mYPjPb7XPDaLWH,low,full,even,0.0,4,4,2928,2895,1121.0,48.0,1121.0,48.0,6,1024,48,True,True,True,2,4,9,39
