session,subjid,gameNum,turnCount,agent,objectLayer,costCond,visibilityCond,resourceCond,redFirst,meFirst,counterbalance,ownBPsize,step_other_expense,step_expense,energy_expense,other_expense,energy,score,points,pointsCumulative,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps,partner_helped_thisgame,partner_helpingevents_thisgame,partner_helpfulsteps_thisgame,player_helped_lastgame,partner_helped_lastgame,player_helpingevents_lastgame,partner_helpingevents_lastgame,player_helpfulsteps_lastgame,partner_helpfulsteps_lastgame,environment,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize,nOwnVeg,nOtherVeg
4ISIiFA1J99JSc,4ISIiFA1J99JScred,9,9,red,Items00,high,full,even,False,False,12.0,4,0.0,26.0,52.0,0.0,48,4,192,828,0,26,0,False,False,False,0,0,0,0,False,0,0,True,True,3.0,3.0,17.0,13.0,1,4,4,True,2,"4,4",4,4
4ISIiFA1J99JSc,4ISIiFA1J99JScpurple,10,9,purple,Items09,high,full,even,False,True,12.0,4,11.0,37.0,74.0,22.0,26,3,78,1112,1,34,11,True,True,False,1,0,11,0,False,0,0,False,False,0.0,0.0,0.0,0.0,10,5,3,True,2,"3,5",3,5
4ISIiFA1J99JSc,4ISIiFA1J99JScred,10,9,red,Items09,high,full,even,False,False,12.0,4,0.0,26.0,52.0,0.0,48,5,240,1044,0,26,0,False,True,False,1,0,11,0,True,1,11,False,False,0.0,0.0,0.0,0.0,10,5,3,True,2,"3,5",5,3
4ISIiFA1J99JSc,4ISIiFA1J99JScpurple,11,9,purple,Items07,high,full,even,False,True,12.0,4,1.0,29.0,58.0,2.0,42,4,168,1280,1,26,1,True,True,True,1,1,1,1,True,1,1,True,False,1.0,0.0,11.0,0.0,8,4,4,False,2,"4,4",4,4
4ISIiFA1J99JSc,4ISIiFA1J99JScred,11,9,red,Items07,high,full,even,False,False,12.0,4,1.0,26.0,52.0,2.0,48,4,192,1206,1,26,1,True,True,True,1,1,1,1,True,1,1,False,True,0.0,1.0,0.0,11.0,8,4,4,False,2,"4,4",4,4
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,0,11,purple,Items03,high,self,uneven,True,False,6.0,5,0.0,31.0,57.0,0.0,43,5,215,215,0,26,0,False,False,True,0,1,0,7,True,1,7,,,,,,,4,3,5,True,2,"3,5",5,3
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,0,11,red,Items03,high,self,uneven,True,True,6.0,3,7.0,49.0,98.0,14.0,2,3,6,6,1,43,7,True,False,True,0,1,0,7,False,0,0,,,,,,,4,3,5,True,2,"3,5",3,5
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,1,10,purple,Items07,high,self,uneven,True,False,6.0,5,1.0,29.0,58.0,2.0,42,4,168,353,1,26,1,True,True,True,1,1,1,8,True,1,8,False,True,0.0,1.0,0.0,7.0,8,4,4,False,2,"4,4",4,4
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,1,10,red,Items07,high,self,uneven,True,True,6.0,3,8.0,48.0,96.0,16.0,4,4,16,22,1,45,8,True,True,True,1,1,1,8,True,1,1,True,False,1.0,0.0,7.0,0.0,8,4,4,False,2,"4,4",4,4
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,2,18,purple,Items05,high,self,uneven,True,False,6.0,5,16.0,50.0,100.0,32.0,0,7,0,353,3,51,16,True,True,True,3,3,16,20,True,3,20,True,True,1.0,1.0,1.0,8.0,6,7,7,False,5,"3,2,2,2,2,3",7,7
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,2,18,red,Items05,high,self,uneven,True,True,6.0,3,8.0,50.0,100.0,16.0,0,7,0,6,3,76,20,True,True,True,3,3,16,20,True,3,16,True,True,1.0,1.0,8.0,1.0,6,7,7,False,5,"3,2,2,2,2,3",7,7
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,3,18,purple,Items11,high,self,uneven,False,True,6.0,5,28.0,48.0,96.0,56.0,0,7,0,353,4,61,28,True,True,True,4,3,28,13,True,3,13,True,True,3.0,3.0,16.0,20.0,12,7,7,False,5,"3,2,2,2,2,3",7,7
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,3,18,red,Items11,high,self,uneven,False,False,6.0,3,13.0,50.0,100.0,26.0,0,7,0,6,3,49,13,True,True,True,4,3,28,13,True,4,28,True,True,3.0,3.0,20.0,16.0,12,7,7,False,5,"3,2,2,2,2,3",7,7
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,4,10,purple,Items09,high,self,uneven,False,True,6.0,5,16.0,26.0,52.0,32.0,48,3,144,497,5,26,16,True,True,True,5,3,16,14,True,3,14,True,True,4.0,3.0,28.0,13.0,10,5,3,True,2,"3,5",3,5
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,4,10,red,Items09,high,self,uneven,False,False,6.0,3,14.0,27.0,54.0,28.0,46,5,230,236,3,24,14,True,True,True,5,3,16,14,True,5,16,True,True,3.0,4.0,13.0,28.0,10,5,3,True,2,"3,5",5,3
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,5,10,purple,Items00,high,self,uneven,False,True,6.0,5,9.0,34.0,68.0,18.0,32,4,128,607,1,34,9,True,True,False,1,0,9,0,False,0,0,True,True,5.0,3.0,16.0,14.0,1,4,4,True,2,"4,4",4,4
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,5,10,red,Items00,high,self,uneven,False,False,6.0,3,0.0,27.0,54.0,0.0,46,4,184,420,0,24,0,False,True,False,1,0,9,0,True,1,9,True,True,3.0,5.0,14.0,16.0,1,4,4,True,2,"4,4",4,4
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,6,10,purple,Items06,high,self,uneven,False,True,6.0,5,14.0,34.0,68.0,28.0,32,4,128,711,4,34,14,True,True,True,4,3,14,14,True,3,14,True,False,1.0,0.0,9.0,0.0,7,4,4,True,2,"4,4",4,4
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,6,10,red,Items06,high,self,uneven,False,False,6.0,3,14.0,27.0,54.0,28.0,46,4,184,604,3,24,14,True,True,True,4,3,14,14,True,4,14,False,True,0.0,1.0,0.0,9.0,7,4,4,True,2,"4,4",4,4
4cKdZNL492Ie0V,4cKdZNL492Ie0Vpurple,7,10,purple,Items01,high,self,uneven,False,True,6.0,5,10.0,34.0,68.0,20.0,32,4,128,815,2,34,10,True,True,True,2,1,10,1,True,1,1,True,True,4.0,3.0,14.0,14.0,2,4,4,False,2,"4,4",4,4
4cKdZNL492Ie0V,4cKdZNL492Ie0Vred,7,10,red,Items01,high,self,uneven,False,False,6.0,3,1.0,27.0,54.0,2.0,46,4,184,788,1,24,1,True,True,True,2,1,10,1,True,2,10,True,True,3.0,4.0,14.0,14.0,2,4,4,False,2,"4,4",4,4
